/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
North America,2008,607.42,1456.17,580.36,934.33,737.81,455.21,216.48,595.15,412.64,204.39,86.78,577.99,61.31,817.63,1.32,12.37,9.51,,,
Europe,2008,596.21,1268.74,338.67,894.97,663.56,611.50,227.54,586.73,605.83,451.83,160.49,624.53,33.76,770.35,0.55,9.74,0.96,,,
Africa,2008,1195.94,1261.20,576.30,898.97,958.88,601.12,199.68,1117.35,825.62,386.62,94.13,404.65,89.61,619.25,8.36,0.65,0.19,,,
Australia,2008,1899.83,2035.06,1890.40,1252.25,1398.68,367.95,131.32,1102.73,877.40,488.34,250.87,610.66,79.12,1489.35,0.00,17.00,0.52,,,
E Asia,2008,895.60,1206.73,497.61,817.34,900.03,554.51,83.73,828.74,752.98,253.36,176.75,514.55,130.70,683.89,0.97,5.35,0.63,,,
N Asia,2008,553.05,0.00,488.79,662.04,616.14,306.69,213.16,482.01,349.09,189.94,57.70,408.41,24.16,523.38,1.75,14.21,24.05,,,
S Asia,2008,791.59,1334.20,603.15,706.29,744.04,402.06,26.25,967.65,619.01,234.55,62.76,356.61,31.28,646.10,1.71,8.90,1.37,,,
SE Asia,2008,841.39,1210.15,39.12,1084.29,1234.21,689.54,481.88,948.45,838.21,688.83,169.75,625.70,93.63,778.85,26.45,56.52,0.46,,,
SW Asia,2008,906.47,1170.79,664.06,1097.10,983.41,684.84,75.61,997.51,742.17,288.60,362.27,393.07,19.94,976.98,5.55,2.44,0.89,,,
Central Asia,2008,529.78,0.69,559.77,646.59,633.39,547.19,32.58,601.73,505.63,165.75,75.36,265.72,8.65,505.70,1.89,11.53,0.06,,,
Central America,2008,509.09,1491.53,0.00,1269.36,1530.77,922.96,408.73,1271.66,955.13,959.30,234.26,915.82,132.76,990.93,0.00,75.66,0.07,,,
South America,2008,1002.91,1352.76,311.55,650.42,930.92,857.07,234.90,950.40,829.96,630.26,126.02,687.40,13.97,971.40,4.94,35.91,1.37,,,
North America,2007,632.16,1468.32,573.43,831.70,774.55,460.72,231.07,595.08,410.93,220.04,85.94,563.06,60.69,770.39,1.50,12.90,11.79,,,
Europe,2007,631.34,1301.91,328.12,854.16,709.16,672.61,236.33,623.56,629.00,453.82,164.98,598.40,33.88,778.92,0.49,9.58,0.97,,,
Africa,2007,1186.64,1222.82,636.99,935.65,998.31,507.11,175.31,1122.85,841.46,383.62,94.16,412.49,88.45,631.37,2.13,0.74,0.25,,,
Australia,2007,1764.98,2004.93,1966.30,1224.45,1380.97,347.11,147.22,1018.54,836.55,477.14,256.03,603.81,74.04,1507.86,-1.00,17.13,0.53,,,
E Asia,2007,946.47,1266.11,636.55,774.68,900.44,443.66,90.66,851.91,760.67,244.14,187.05,501.49,128.11,688.68,1.46,5.87,0.56,,,
N Asia,2007,558.80,0.00,512.16,673.31,621.08,275.52,213.77,495.98,339.99,187.20,57.56,456.17,25.44,542.74,1.82,14.03,25.77,,,
S Asia,2007,868.84,1332.10,802.84,681.33,742.78,385.48,40.31,943.39,607.83,247.72,62.31,342.84,28.43,640.36,2.29,11.89,1.15,,,
SE Asia,2007,885.85,1272.02,38.34,1020.07,1197.96,708.41,493.32,980.70,853.55,691.53,183.39,612.13,94.70,812.39,53.59,55.47,0.37,,,
SW Asia,2007,826.02,1090.40,576.82,991.54,894.62,702.53,101.76,922.61,700.02,303.49,336.11,398.91,20.57,945.72,7.48,3.34,0.63,,,
Central Asia,2007,622.67,0.72,633.70,718.17,718.99,591.58,55.67,650.93,574.75,208.49,88.86,346.31,11.27,580.28,1.85,12.86,0.11,,,
Central America,2007,506.18,1516.93,0.00,1261.35,1600.84,768.56,485.19,1303.43,957.99,963.58,224.88,918.44,137.99,974.20,0.00,74.24,0.07,,,
South America,2007,861.82,1402.05,287.68,583.06,736.03,729.07,230.76,922.39,770.95,609.56,119.13,722.04,13.58,880.79,2.37,34.31,1.14,,,
North America,2006,656.37,1426.47,565.92,824.12,749.21,482.99,218.85,589.78,407.62,195.25,91.60,502.23,57.18,741.13,1.09,12.39,9.81,,,
Europe,2006,607.88,1199.61,288.30,837.71,645.50,571.10,247.53,611.93,590.84,431.20,162.21,572.02,30.45,705.96,0.52,10.31,0.98,,,
Africa,2006,1113.03,1199.52,711.05,889.48,921.85,724.82,250.33,1055.70,819.46,415.15,96.35,406.67,89.06,587.45,9.06,0.73,0.17,,,
Australia,2006,1869.73,2066.82,1913.20,1218.01,1385.69,410.33,179.99,1062.73,853.41,510.30,265.97,560.59,75.56,1479.69,0.40,12.79,0.59,,,
E Asia,2006,924.46,1306.44,604.49,785.88,879.54,491.96,87.48,849.52,758.78,260.95,189.04,512.43,120.18,664.39,2.20,6.09,0.44,,,
