Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
S Asia,2012,2.51198E+13,1.84436E+14,296943081.9,5.57541E+13,7.90857E+13,71889561841,1.17229E+13,1.80631E+14,1.2592E+14,1.5573E+14,1.35561E+12,7.13024E+14,1.39515E+12,4.70196E+13,71122790710,9.33351E+12,43249548125
SE Asia,2012,6.77441E+12,2.76375E+15,919196493.7,6.88045E+13,1.06852E+14,5.62656E+11,57946973035,8.38045E+14,3.15768E+14,1.44781E+14,1.50095E+13,3.05094E+14,3.76044E+12,1.24471E+14,1422763971,1.1736E+11,1.38601E+11
SW Asia,2012,1.64856E+13,5.22309E+11,841951831.4,4.76827E+13,1.54569E+13,3.40188E+11,3.08902E+13,5.75866E+13,5.56003E+13,3.02077E+14,1.44741E+12,1.66369E+14,8.68723E+11,5.20035E+12,1582617219,1.23143E+13,24243209616
Central Asia,2012,5.07332E+11,6671033.73,57288367593,7.17138E+11,5.25958E+12,2.74814E+11,6.26608E+12,4.84666E+12,5.17243E+12,4.85218E+14,5.98535E+11,5.48782E+13,1.98711E+11,91861970706,62502953334,7.71232E+12,5187812368
Central America,2012,28162233351,2.52302E+14,0,6.65513E+12,2.15597E+12,72772792697,208428899.8,2.34585E+14,1.28298E+14,2.22316E+13,1.46026E+12,9.56507E+12,3.05723E+11,6.59048E+12,0,4878546112,934031902.1
South America,2012,3.56752E+13,8.56876E+15,2585565135,2.20897E+14,5.55654E+13,3.13253E+13,1.8604E+14,9.37801E+14,2.96907E+15,2.30505E+15,1.6708E+13,5.03464E+14,1.32205E+12,1.07571E+14,60906106210,2.34837E+13,2.30527E+11
North America,2012,7.53816E+14,2.93249E+14,3.5901E+12,7.69681E+14,6.87663E+14,1.41447E+13,4.92861E+14,1.86771E+15,1.04337E+15,1.03748E+15,3.71556E+13,1.03196E+15,9.10845E+12,1.12196E+14,4.5155E+11,9.90129E+12,5.03924E+12
Europe,2011,4.5115E+14,2.65435E+13,1.02227E+11,3.10152E+14,1.04075E+15,1.47308E+12,6.89364E+13,8.63554E+14,7.80175E+14,6.43996E+14,1.51177E+13,1.50633E+15,5.26541E+12,1.73946E+14,49271618165,9.3222E+11,1.63636E+11
Africa,2011,4.98804E+12,2.5465E+15,962470225,3.25507E+14,2.26452E+14,9.45602E+13,3.91329E+14,1.24771E+15,3.39494E+15,3.12767E+15,8.49541E+12,5.52444E+14,5.52603E+12,1.72678E+14,133628528.9,7.33204E+12,51349933750
Australia,2011,7.13494E+13,4.29962E+14,843639524.8,1.13546E+12,8.70728E+12,1.31007E+14,1.01945E+15,1.58287E+14,5.17737E+14,1.17889E+15,2.89657E+12,1.9032E+14,9.49347E+11,1.36188E+12,64858338.49,1.80532E+12,27506796388
E Asia,2011,9.19152E+13,3.07413E+15,1.06635E+13,4.55346E+14,4.26453E+14,3.22654E+12,6.81662E+11,1.56204E+15,8.56479E+14,7.98509E+14,1.82793E+13,8.94034E+14,2.6186E+13,2.56221E+14,84885480060,1.28553E+13,1.4478E+11
N Asia,2011,2.32739E+14,0,2.38237E+14,1.98172E+14,8.37966E+14,1.19191E+13,7.32625E+14,1.05132E+15,8.18241E+14,5.52555E+14,1.81245E+13,1.18865E+14,3.51272E+11,1.88909E+13,77499572478,8.55539E+12,5.60034E+12
S Asia,2011,2.71334E+13,2.06098E+14,0,6.55834E+13,8.94963E+13,74268590481,1.30806E+13,1.95756E+14,1.40803E+14,1.70163E+14,1.48672E+12,8.60836E+14,1.54E+12,5.42346E+13,90194102185,9.537E+12,54003175954
SE Asia,2011,7.37858E+12,2.8134E+15,486057252.1,7.77753E+13,1.17873E+14,5.66421E+11,58602901953,8.41621E+14,3.12237E+14,1.45439E+14,1.45271E+13,3.16355E+14,3.70459E+12,1.22468E+14,9683891982,1.41086E+11,76873168009
SW Asia,2011,1.80131E+13,5.68679E+11,1266837139,4.50472E+13,1.52165E+13,3.51301E+11,3.28435E+13,5.66344E+13,5.86418E+13,3.13834E+14,1.49768E+12,1.86713E+14,9.02438E+11,5.26877E+12,1511982953,1.21545E+13,33839794422
Central Asia,2011,6.23324E+11,6297384.794,69262336162,8.49335E+11,5.81002E+12,2.77287E+11,4.84182E+12,5.06795E+12,6.00441E+12,5.41492E+14,6.25418E+11,6.96535E+13,2.02651E+11,99901439438,70439054684,8.3216E+12,6799977276
Central America,2011,26803770300,2.44584E+14,0,6.79299E+12,1.95822E+12,71632426809,284048971.7,2.17399E+14,1.22761E+14,2.11495E+13,1.48295E+12,9.47682E+12,2.81803E+11,6.51756E+12,0,5294831434,780182268.7
South America,2011,3.85296E+13,8.50075E+15,3577545346,2.7757E+14,6.10686E+13,4.65103E+13,1.85972E+14,9.66459E+14,3.29413E+15,2.51099E+15,1.72439E+13,4.99068E+14,1.28138E+12,1.20041E+14,96972917431,2.29414E+13,2.44674E+11
North America,2011,8.24038E+14,3.05043E+14,3.27903E+12,8.14479E+14,7.19676E+14,1.51975E+13,5.2016E+14,1.98066E+15,1.11471E+15,1.18705E+15,3.73206E+13,1.17448E+15,9.61405E+12,1.21055E+14,3.89502E+11,1.02445E+13,5.05309E+12
Europe,2010,4.12882E+14,2.49367E+13,74604016495,2.97721E+14,9.45062E+14,1.44755E+12,5.75247E+13,7.91091E+14,7.28289E+14,5.85417E+14,1.38728E+13,1.36278E+15,4.79973E+12,1.60498E+14,42743979556,9.39306E+11,1.56959E+11
