Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
Australia,2006,34203696432,1.95E+11,197327.7969,632231943.2,4788540914,2.86E+11,4.14E+12,1.37E+11,4.84E+11,1.90E+12,2.70E+11,662783871.9,
E Asia,2006,94674915949,2.39E+12,14247426222,5.62E+11,4.84E+11,5780073191,8041528335,1.74E+12,1.11E+12,3.06E+12,1.81E+12,3.72E+11,
N Asia,2006,3.89E+11,0,4.62E+11,2.80E+11,1.36E+12,36605523798,3.19E+12,2.06E+12,2.46E+12,2.73E+12,2.70E+11,31442779462,
S Asia,2006,32944966028,1.54E+11,1254699.672,79306530276,1.09E+11,260018739.7,2.69E+11,1.98E+11,2.18E+11,6.79E+11,2.20E+12,81109367158,
SE Asia,2006,8294175116,2.18E+12,4825362.095,72849534120,95749928664,627001185.4,161924936.2,7.24E+11,3.52E+11,1.84E+11,4.95E+11,1.52E+11,
SW Asia,2006,15603776649,414415372.4,1815882.04,45252111848,15625180421,500320035.6,3.33E+11,57926729209,74136634859,9.59E+11,4.08E+11,4677566472,
Central Asia,2006,1080966366,7961722.03,114567059.2,1528021259,8249292091,320453972.8,1.03E+11,7068514853,11495353414,2.83E+12,2.22E+11,165520784.7,
Central America,2006,49579413.92,1.75E+11,0,4985406040,1376324925,108482456.7,1966605.297,1.50E+11,1.28E+11,20488502089,10500110286,6125235926,
South America,2006,38747939848,6.33E+12,11428933.16,3.57E+11,72310457347,60188393664,8.52E+11,9.04E+11,3.56E+12,3.66E+12,6.30E+11,1.15E+11,
North America,2005,1.17E+12,2.24E+11,3897115092,9.26E+11,8.80E+11,32712605186,2.23E+12,3.31E+12,2.61E+12,5.39E+12,1.97E+12,1.33E+11,
Europe,2005,6.38E+11,20029814490,307992763.6,3.61E+11,1.38E+12,4110257898,2.35E+11,1.29E+12,1.21E+12,1.39E+12,2.50E+12,2.17E+11,
Africa,2005,3342953753,2.26E+12,658613.9516,3.74E+11,2.17E+11,1.79E+11,1.78E+12,1.18E+12,4.25E+12,7.71E+12,1.29E+12,2.64E+11,
Australia,2005,33825586275,1.93E+11,0,649615968.9,4497708627,2.89E+11,4.15E+12,1.32E+11,4.85E+11,1.89E+12,2.78E+11,596874101.8,
E Asia,2005,93966583084,2.41E+12,13823752101,5.63E+11,4.87E+11,5502517413,8256228349,1.71E+12,1.11E+12,3.06E+12,1.82E+12,3.70E+11,
